NAME;CPUS;SHARED_CPU;MEMORY_GB;DEPRECATED;ZONE
z3-highmem-176;176;False;1408.00;DEPRECATED;
z3-highmem-192-highlssd-metal;192;False;1536.00;;
z3-highmem-22-highlssd;22;False;176.00;;
z3-highmem-22-standardlssd;22;False;176.00;;
z3-highmem-32-highlssd;32;False;256.00;;
z3-highmem-44-highlssd;44;False;352.00;;
z3-highmem-44-standardlssd;44;False;352.00;;
z3-highmem-8-highlssd;8;False;64.00;;
z3-highmem-88-highlssd;88;False;704.00;;
z3-highmem-88-standardlssd;88;False;704.00;;
z3-highmem-88;88;False;704.00;DEPRECATED;
