NAME;DESCRIPTION;DISK_SIZE_GB;PROJECT;FAMILY;ARCHITECTURE;CREATION;DEPRECATED;STATUS
windows-server-2016-dc-v20230809;Microsoft, Windows Server, 2016 Datacenter, Server with Desktop Experience, x64 built on 20230809;50;windows-cloud;windows-2016;X86_64;2023-08-09T17:05:37.229-07:00;;READY
windows-server-2019-dc-core-for-containers-v20230809;Microsoft, Windows Server, 2019 Datacenter Core for Containers, Server Core, x64 built on 20230809;32;windows-cloud;windows-2019-core-for-containers;X86_64;2023-08-09T17:05:37.630-07:00;;READY
windows-server-2019-dc-core-v20230809;Microsoft, Windows Server, 2019 Datacenter Core, Server Core, x64 built on 20230809;32;windows-cloud;windows-2019-core;X86_64;2023-08-09T17:05:35.241-07:00;;READY
windows-server-2019-dc-for-containers-v20230809;Microsoft, Windows Server, 2019 Datacenter for Containers, x64 built on 20230809;50;windows-cloud;windows-2019-for-containers;X86_64;2023-08-09T17:05:35.754-07:00;;READY
windows-server-2019-dc-v20230809;Microsoft, Windows Server, 2019 Datacenter, Server with Desktop Experience, x64 built on 20230809;50;windows-cloud;windows-2019;X86_64;2023-08-09T17:05:37.590-07:00;;READY
windows-server-2022-dc-core-v20230809;Microsoft, Windows Server, 2022 Datacenter Core, Server Core, x64 built on 20230809;40;windows-cloud;windows-2022-core;X86_64;2023-08-09T17:05:36.971-07:00;;READY
windows-server-2022-dc-v20230809;Microsoft, Windows Server, 2022 Datacenter, Server with Desktop Experience, x64 built on 20230809;50;windows-cloud;windows-2022;X86_64;2023-08-09T17:05:36.171-07:00;;READY
sql-2014-web-windows-2012-r2-dc-v20230809;Microsoft, SQL Server 2014 Web, on Windows Server 2012 R2 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-web-2014-win-2012-r2;X86_64;2023-08-09T17:05:47.468-07:00;;READY
sql-2016-enterprise-windows-2012-r2-dc-v20230809;Microsoft, SQL Server 2016 Enterprise, on Windows Server 2012 R2 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-ent-2016-win-2012-r2;X86_64;2023-08-09T17:05:47.051-07:00;;READY
sql-2016-enterprise-windows-2016-dc-v20230809;Microsoft, SQL Server 2016 Enterprise, on Windows Server 2016 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-ent-2016-win-2016;X86_64;2023-08-09T17:05:47.491-07:00;;READY
sql-2016-enterprise-windows-2019-dc-v20230809;Microsoft, SQL Server 2016 Enterprise, on Windows Server 2019 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-ent-2016-win-2019;X86_64;2023-08-09T17:05:47.734-07:00;;READY
sql-2016-standard-windows-2012-r2-dc-v20230809;Microsoft, SQL Server 2016 Standard, on Windows Server 2012 R2 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-std-2016-win-2012-r2;X86_64;2023-08-09T17:05:47.273-07:00;;READY
sql-2016-standard-windows-2016-dc-v20230809;Microsoft, SQL Server 2016 Standard, on Windows Server 2016 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-std-2016-win-2016;X86_64;2023-08-09T17:05:49.596-07:00;;READY
cos-stable-105-17412-156-5;Google, Container-Optimized OS, 105-17412.156.5 stable, Kernel: COS-5.15.120 Kubernetes: 1.25.5 Docker: 23.0.3 Family: cos-stable;10;cos-cloud;cos-stable;X86_64;2023-08-01T17:28:42.042-07:00;;READY
ubuntu-minimal-2004-focal-arm64-v20230725;Canonical, Ubuntu, 20.04 LTS Minimal, arm64 focal minimal image built on 2023-07-25;10;ubuntu-os-cloud;ubuntu-minimal-2004-lts-arm64;ARM64;2023-07-25T01:01:11.633-07:00;;READY
ubuntu-minimal-2004-focal-v20230725;Canonical, Ubuntu, 20.04 LTS Minimal, amd64 focal minimal image built on 2023-07-25;10;ubuntu-os-cloud;ubuntu-minimal-2004-lts;X86_64;2023-07-25T01:01:11.068-07:00;;READY
ubuntu-minimal-2204-jammy-arm64-v20230726;Canonical, Ubuntu, 22.04 LTS Minimal, arm64 jammy minimal image built on 2023-07-26;10;ubuntu-os-cloud;ubuntu-minimal-2204-lts-arm64;ARM64;2023-07-26T18:29:08.816-07:00;;READY
ubuntu-minimal-2204-jammy-v20230726;Canonical, Ubuntu, 22.04 LTS Minimal, amd64 jammy minimal image built on 2023-07-26;10;ubuntu-os-cloud;ubuntu-minimal-2204-lts;X86_64;2023-07-26T18:29:10.002-07:00;;READY
ubuntu-minimal-2304-lunar-amd64-v20230810;Canonical, Ubuntu, 23.04 Minimal, amd64 lunar minimal image built on 2023-08-10;10;ubuntu-os-cloud;ubuntu-minimal-2304-amd64;X86_64;2023-08-10T14:58:21.769-07:00;;READY
sql-2016-standard-windows-2019-dc-v20230809;Microsoft, SQL Server 2016 Standard, on Windows Server 2019 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-std-2016-win-2019;X86_64;2023-08-09T17:05:46.241-07:00;;READY
sql-2016-web-windows-2012-r2-dc-v20230809;Microsoft, SQL Server 2016 Web, on Windows Server 2012 R2 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-web-2016-win-2012-r2;X86_64;2023-08-09T17:05:47.295-07:00;;READY
sql-2016-web-windows-2016-dc-v20230809;Microsoft, SQL Server 2016 Web, on Windows Server 2016 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-web-2016-win-2016;X86_64;2023-08-09T17:05:47.032-07:00;;READY
sql-2016-web-windows-2019-dc-v20230809;Microsoft, SQL Server 2016 Web, on Windows Server 2019 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-web-2016-win-2019;X86_64;2023-08-09T17:05:47.864-07:00;;READY
sql-2017-enterprise-windows-2016-dc-v20230809;Microsoft, SQL Server 2017 Enterprise, on Windows Server 2016 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-ent-2017-win-2016;X86_64;2023-08-09T17:05:46.637-07:00;;READY
sql-2017-enterprise-windows-2019-dc-v20230809;Microsoft, SQL Server 2017 Enterprise, on Windows Server 2019 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-ent-2017-win-2019;X86_64;2023-08-09T17:05:46.993-07:00;;READY
sql-2017-enterprise-windows-2022-dc-v20230809;Microsoft, SQL Server 2017 Enterprise, on Windows Server 2022 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-ent-2017-win-2022;X86_64;2023-08-09T17:05:47.585-07:00;;READY
sql-2017-express-windows-2012-r2-dc-v20230809;Microsoft, SQL Server 2017 Express, on Windows Server 2012 R2 Datacenter, x64 built on 20230809;50;windows-sql-cloud;sql-exp-2017-win-2012-r2;X86_64;2023-08-09T17:05:47.161-07:00;;READY
ubuntu-minimal-2304-lunar-arm64-v20230810;Canonical, Ubuntu, 23.04 Minimal, arm64 lunar minimal image built on 2023-08-10;10;ubuntu-os-cloud;ubuntu-minimal-2304-arm64;ARM64;2023-08-10T14:57:55.117-07:00;;READY
